id,provider,title,start_date,end_date,startyear,endyear,type,tags
LANDSAT/GLS1975,USGS,Landsat Global Land Survey 1975 Mosaic,12/31/1971,2/9/1983,1971,1983,ImageCollection,"usgs, gls, landsat, global, radiance"
LANDSAT/LM01/C01/T1,USGS,USGS Landsat 1 MSS Collection 1 Tier 1 Raw Scenes,7/22/1972,1/6/1978,1972,1978,ImageCollection,"landsat, usgs, global, mss, l1, lm1, c1, tier1, t1, radiance"
LANDSAT/LM01/C01/T2,USGS,USGS Landsat 1 MSS Collection 1 Tier 2 Raw Scenes,7/22/1972,1/6/1978,1972,1978,ImageCollection,"landsat, usgs, global, mss, l1, lm1, c1, tier2, t2, radiance"
LANDSAT/LM1,USGS,USGS Landsat 1 MSS Raw Scenes,7/22/1972,1/6/1978,1972,1978,ImageCollection,"landsat, usgs, global, mss, l1, lm1, radiance"
LANDSAT/LM1_L1T,USGS,USGS Landsat 1 MSS Raw Scenes (Orthorectified),7/22/1972,1/6/1978,1972,1978,ImageCollection,"landsat, usgs, global, mss, l1, lm1, radiance"
JRC/GHSL/P2016/BUILT_LDSMT_GLOBE_V1,EC JRC,"GHSL: Global Human Settlement Layers, Built-Up Grid 1975-1990-2000-2015 (P2016)",12/31/1974,12/30/2014,1974,2014,Image,"jrc, built, builtup, landsat_derived, multitemporal"
JRC/GHSL/P2016/POP_GPW_GLOBE_V1,EC JRC,"GHSL: Global Human Settlement Layers, Population Grid 1975-1990-2000-2015 (P2016)",12/31/1974,12/30/2015,1974,2015,ImageCollection,"jrc, population, ciesin_derived"
JRC/GHSL/P2016/SMOD_POP_GLOBE_V1,EC JRC,"GHSL: Global Human Settlement Layers, Settlement Grid 1975-1990-2000-2014 (P2016)",12/31/1974,12/30/2015,1974,2015,ImageCollection,"jrc, smod, settlements"
LANDSAT/LM02/C01/T1,USGS,USGS Landsat 2 MSS Collection 1 Tier 1 Raw Scenes,1/21/1975,2/25/1982,1975,1982,ImageCollection,"landsat, usgs, global, mss, l2, lm2, c1, tier1, t1, radiance"
LANDSAT/LM02/C01/T2,USGS,USGS Landsat 2 MSS Collection 1 Tier 2 Raw Scenes,1/21/1975,2/25/1982,1975,1982,ImageCollection,"landsat, usgs, global, mss, l2, lm2, c1, tier2, t2, radiance"
LANDSAT/LM2,USGS,USGS Landsat 2 MSS Raw Scenes,1/21/1975,2/25/1982,1975,1982,ImageCollection,"landsat, usgs, global, mss, l2, lm2, radiance"
LANDSAT/LM2_L1T,USGS,USGS Landsat 2 MSS Raw Scenes (Orthorectified),1/21/1975,2/25/1982,1975,1982,ImageCollection,"landsat, usgs, global, mss, l2, lm2, radiance"
LANDSAT/LM03/C01/T1,USGS,USGS Landsat 3 MSS Collection 1 Tier 1 Raw Scenes,3/4/1978,3/30/1983,1978,1983,ImageCollection,"landsat, usgs, global, mss, l3, lm3, c1, tier1, t1, radiance"
LANDSAT/LM03/C01/T2,USGS,USGS Landsat 3 MSS Collection 1 Tier 2 Raw Scenes,3/4/1978,3/30/1983,1978,1983,ImageCollection,"landsat, usgs, global, mss, l3, lm3, c1, tier2, t2, radiance"
LANDSAT/LM3,USGS,USGS Landsat 3 MSS Raw Scenes,3/4/1978,3/30/1983,1978,1983,ImageCollection,"landsat, usgs, global, mss, l3, lm3, radiance"
LANDSAT/LM3_L1T,USGS,USGS Landsat 3 MSS Raw Scenes (Orthorectified),3/4/1978,3/30/1983,1978,1983,ImageCollection,"landsat, usgs, global, mss, l3, lm3, radiance"
TOMS/MERGED,NASA / GES DISC,TOMS and OMI Merged Ozone Data,10/31/1978,4/8/2020,1978,2020,ImageCollection,"nasa, ges_disc, goddard, toms, ozone, omi, atmosphere, aura, geophysical, climate"
ECMWF/ERA5/MONTHLY,ECMWF / Copernicus Climate Change Service,ERA5 Monthly aggregates - Latest climate reanalysis produced by ECMWF / Copernicus Climate Change Service,12/31/1978,12/31/2019,1978,2019,ImageCollection,"ecmwf, copernicus, era5, reanalysis, wind, temperature, dewpoint, surface, pressure, precipitation, climate"
IDAHO_EPSCOR/GRIDMET,University of Idaho,GRIDMET: University of Idaho Gridded Surface Meteorological Dataset,12/31/1978,4/8/2020,1978,2020,ImageCollection,"idaho, uofi, gridmet, metdata, temperature, humidity, radiation, precipitation, wind, climate, fireburning, nfdrs"
NASA/NLDAS/FORA0125_H002,NASA,NLDAS-2: North American Land Data Assimilation System Forcing Fields,12/31/1978,4/7/2020,1978,2020,ImageCollection,"nasa, ldas, nldas, hourly, forcing, wind, temperature, humidity, geophysical, pressure, radiation, precipitation, evaporation, climate"
NOAA/CDR/PATMOSX/V53,NOAA,"NOAA CDR PATMOSX: Cloud Properties, Reflectance, and Brightness Temperatures, Version 5.3",12/31/1978,4/4/2020,1978,2020,ImageCollection,"noaa, cdr, avhrr, POES, METOP, atmospheric, cloud, reflectance, brightness, temperature, optical"
NOAA/CFSR,NOAA NWS National Centers for Environmental Prediction (NCEP),CFSR: Climate Forecast System Reanalysis,12/31/1978,4/9/2020,1978,2020,ImageCollection,"noaa, nws, ncep, temperature, precipitation, daylight, radiation, flux, water, vapor, snow, weather, forecast, climate, geophysical"
NOAA/CFSV2/FOR6H,NOAA NWS National Centers for Environmental Prediction (NCEP),"CFSV2: NCEP Climate Forecast System Version 2, 6-Hourly Products",12/31/1978,4/9/2020,1978,2020,ImageCollection,"noaa, nws, ncep, temperature, precipitation, daylight, radiation, flux, water, vapor, snow, weather, forecast, climate, geophysical"
ECMWF/ERA5/DAILY,ECMWF / Copernicus Climate Change Service,ERA5 Daily aggregates - Latest climate reanalysis produced by ECMWF / Copernicus Climate Change Service,1/1/1979,12/30/2019,1979,2019,ImageCollection,"ecmwf, copernicus, era5, reanalysis, wind, temperature, dewpoint, surface, pressure, precipitation, climate"
IDAHO_EPSCOR/PDSI,University of Idaho,PDSI: University of Idaho Palmer Drought Severity Index,2/28/1979,3/31/2020,1979,2020,ImageCollection,"idaho, uofi, pdsi, drought, conus, crop, palmer, geophysical, climate"
NASA/ORNL/DAYMET,NASA ORNL,Daymet V2: Daily Surface Weather and Climatological Summaries,12/31/1979,12/30/2015,1979,2015,ImageCollection,"nasa, ornl, daymet, temperature, precipitation, daylight, geophysical, radiation, flux, water, vapor, snow, weather, daily, climate"
NASA/ORNL/DAYMET_V3,NASA ORNL,Daymet V3: Daily Surface Weather and Climatological Summaries,12/31/1979,12/30/2019,1979,2019,ImageCollection,"nasa, ornl, daymet, temperature, precipitation, daylight, geophysical, radiation, flux, water, vapor, snow, weather, daily, climate"
NOAA/CDR/GRIDSAT-B1/V2,NOAA,NOAA CDR GRIDSAT-B1: Geostationary IR Channel Brightness Temperature,12/31/1979,8/5/2019,1979,2019,ImageCollection,"noaa, cdr, sr, ISCCP, fundamental, reflectance, brightness, infrared, geostationary"
NOAA/CDR/AVHRR/AOT/V3,NOAA,"NOAA CDR AVHRR AOT: Daily Aerosol Optical Thickness Over Global Oceans, v03",12/31/1980,12/13/2019,1980,2019,ImageCollection,"noaa, cdr, aot, daily, avhrr, atmospheric, aerosol, optical, pollution"
OREGONSTATE/PRISM/AN81d,PRISM / OREGONSTATE,PRISM Daily Spatial Climate Dataset AN81d,12/31/1980,4/7/2020,1980,2020,ImageCollection,"PRISM, oregonstate, precipitation, climate, weather, temperature, geophysical, vapor, pressure, monthly, daily"
OREGONSTATE/PRISM/Norm81m,PRISM / OREGONSTATE,PRISM Long-Term Average Climate Dataset Norm81m,12/31/1980,12/31/2000,1980,2000,ImageCollection,"PRISM, oregonstate, precipitation, climate, weather, temperature, geophysical, vapor, pressure, monthly, 30-Year"
UCSB-CHG/CHIRPS/DAILY,UCSB/CHG,CHIRPS Daily: Climate Hazards Group InfraRed Precipitation with Station Data (version 2.0 final),12/31/1980,2/28/2020,1980,2020,ImageCollection,"ucsb, chg, precipitation, climate, weather, geophysical"
UCSB-CHG/CHIRPS/PENTAD,UCSB/CHG,CHIRPS Pentad: Climate Hazards Group InfraRed Precipitation with Station Data (version 2.0 final),12/31/1980,2/25/2020,1980,2020,ImageCollection,"ucsb, chg, precipitation, climate, weather, geophysical"
NOAA/CDR/AVHRR/LAI_FAPAR/V4,NOAA,"NOAA CDR AVHRR LAI FAPAR: Leaf Area Index and Fraction of Absorbed Photosynthetically Active Radiation, Version 4",6/23/1981,5/15/2019,1981,2019,ImageCollection,"noaa, cdr, avhrr, land, daily, lai, fapar"
NOAA/CDR/AVHRR/LAI_FAPAR/V5,NOAA,"NOAA CDR AVHRR LAI FAPAR: Leaf Area Index and Fraction of Absorbed Photosynthetically Active Radiation, Version 5",6/23/1981,4/8/2020,1981,2020,ImageCollection,"noaa, cdr, avhrr, land, daily, lai, fapar"
NOAA/CDR/AVHRR/NDVI/V4,NOAA,"NOAA CDR AVHRR NDVI: Normalized Difference Vegetation Index, Version 4",6/23/1981,5/15/2019,1981,2019,ImageCollection,"noaa, cdr, avhrr, land, daily, ndvi"
NOAA/CDR/AVHRR/NDVI/V5,NOAA,"NOAA CDR AVHRR NDVI: Normalized Difference Vegetation Index, Version 5",6/23/1981,4/7/2020,1981,2020,ImageCollection,"noaa, cdr, avhrr, land, daily, ndvi"
NOAA/CDR/AVHRR/SR/V4,NOAA,"NOAA CDR AVHRR: Surface Reflectance, Version 4",6/23/1981,5/15/2019,1981,2019,ImageCollection,"noaa, cdr, avhrr, land, daily, sr, reflectance"
NOAA/CDR/AVHRR/SR/V5,NOAA,"NOAA CDR AVHRR: Surface Reflectance, Version 5",6/23/1981,4/8/2020,1981,2020,ImageCollection,"noaa, cdr, avhrr, land, daily, sr, reflectance"
NASA/GIMMS/3GV0,NASA/NOAA,GIMMS NDVI from AVHRR Sensors (3rd Generation),6/30/1981,12/30/2013,1981,2013,ImageCollection,"gimms, nasa, avhrr, noaa, ndvi, vegetation"
NOAA/CDR/SST_PATHFINDER/V53,NOAA,NOAA AVHRR Pathfinder Version 5.3 Collated Global 4km Sea Surface Temperature,8/23/1981,12/30/2014,1981,2014,ImageCollection,"noaa, avhrr, pathfinder, sst, temperature, wind, sea_ice"
NOAA/CDR/OISST/V2,NOAA,NOAA CDR OISST: Optimum Interpolation Sea Surface Temperature,8/31/1981,4/8/2020,1981,2020,ImageCollection,"noaa, avhrr, cdr, ocean, temperature, sst, oisst, ice, daily, real-time"
LANDSAT/LT4_L1T_ANNUAL_BAI,Google,Landsat 4 TM Annual BAI Composite,12/31/1981,12/31/1993,1981,1993,ImageCollection,bai
LANDSAT/LT4_L1T_ANNUAL_EVI,Google,Landsat 4 TM Annual EVI Composite,12/31/1981,12/31/1993,1981,1993,ImageCollection,evi
LANDSAT/LT4_L1T_ANNUAL_GREENEST_TOA,Google,Landsat 4 TM Annual Greenest-Pixel TOA Reflectance Composite,12/31/1981,12/31/1993,1981,1993,ImageCollection,"toa, greenest"
LANDSAT/LT4_L1T_ANNUAL_NBRT,Google,Landsat 4 TM Annual NBRT Composite,12/31/1981,12/31/1993,1981,1993,ImageCollection,nbrt
LANDSAT/LT4_L1T_ANNUAL_NDSI,Google,Landsat 4 TM Annual NDSI Composite,12/31/1981,12/31/1993,1981,1993,ImageCollection,ndsi
LANDSAT/LT4_L1T_ANNUAL_NDVI,Google,Landsat 4 TM Annual NDVI Composite,12/31/1981,12/31/1993,1981,1993,ImageCollection,ndvi
LANDSAT/LT4_L1T_ANNUAL_NDWI,Google,Landsat 4 TM Annual NDWI Composite,12/31/1981,12/31/1993,1981,1993,ImageCollection,ndwi
LANDSAT/LT4_L1T_ANNUAL_RAW,Google,Landsat 4 TM Annual Raw Composite,12/31/1981,12/31/1993,1981,1993,ImageCollection,raw
LANDSAT/LT4_L1T_ANNUAL_TOA,Google,Landsat 4 TM Annual TOA Reflectance Composite,12/31/1981,12/31/1993,1981,1993,ImageCollection,toa
NASA/FLDAS/NOAH01/C/GL/M/V001,NASA,"FLDAS: Famine Early Warning Systems Network (FEWS NET) Land Data
Assimilation System
",12/31/1981,1/31/2020,1981,2020,ImageCollection,"nasa, ldas, fldas, monthly, famine, evapotranspiration, humidity, runoff, snow, temperature, wind, soil_temperature, soil_moisture, climate"
LANDSAT/LM04/C01/T1,USGS,USGS Landsat 4 MSS Collection 1 Tier 1 Raw Scenes,7/15/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, mss, l4, lm4, c1, tier1, t1, radiance"
LANDSAT/LM04/C01/T2,USGS,USGS Landsat 4 MSS Collection 1 Tier 2 Raw Scenes,7/15/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, mss, l4, lm4, c1, tier2, t2, radiance"
LANDSAT/LM4,USGS,USGS Landsat 4 MSS Raw Scenes,7/15/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, mss, l4, lm4, radiance"
LANDSAT/LM4_L1T,USGS,USGS Landsat 4 MSS Raw Scenes (Orthorectified),7/15/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, mss, l4, lm4, radiance"
LANDSAT/LT4_L1T_32DAY_BAI,Google,Landsat 4 TM 32-Day BAI Composite,8/12/1982,12/18/1993,1982,1993,ImageCollection,bai
LANDSAT/LT4_L1T_32DAY_EVI,Google,Landsat 4 TM 32-Day EVI Composite,8/12/1982,12/18/1993,1982,1993,ImageCollection,evi
LANDSAT/LT4_L1T_32DAY_NBRT,Google,Landsat 4 TM 32-Day NBRT Composite,8/12/1982,12/18/1993,1982,1993,ImageCollection,nbrt
LANDSAT/LT4_L1T_32DAY_NDSI,Google,Landsat 4 TM 32-Day NDSI Composite,8/12/1982,12/18/1993,1982,1993,ImageCollection,ndsi
LANDSAT/LT4_L1T_32DAY_NDVI,Google,Landsat 4 TM 32-Day NDVI Composite,8/12/1982,12/18/1993,1982,1993,ImageCollection,ndvi
LANDSAT/LT4_L1T_32DAY_NDWI,Google,Landsat 4 TM 32-Day NDWI Composite,8/12/1982,12/18/1993,1982,1993,ImageCollection,ndwi
LANDSAT/LT4_L1T_32DAY_RAW,Google,Landsat 4 TM 32-Day Raw Composite,8/12/1982,12/18/1993,1982,1993,ImageCollection,raw
LANDSAT/LT4_L1T_32DAY_TOA,Google,Landsat 4 TM 32-Day TOA Reflectance Composite,8/12/1982,12/18/1993,1982,1993,ImageCollection,toa
LANDSAT/LT4_L1T_8DAY_BAI,Google,Landsat 4 TM 8-Day BAI Composite,8/20/1982,12/18/1993,1982,1993,ImageCollection,bai
LANDSAT/LT4_L1T_8DAY_EVI,Google,Landsat 4 TM 8-Day EVI Composite,8/20/1982,12/18/1993,1982,1993,ImageCollection,evi
LANDSAT/LT4_L1T_8DAY_NBRT,Google,Landsat 4 TM 8-Day NBRT Composite,8/20/1982,12/18/1993,1982,1993,ImageCollection,nbrt
LANDSAT/LT4_L1T_8DAY_NDSI,Google,Landsat 4 TM 8-Day NDSI Composite,8/20/1982,12/18/1993,1982,1993,ImageCollection,ndsi
LANDSAT/LT4_L1T_8DAY_NDVI,Google,Landsat 4 TM 8-Day NDVI Composite,8/20/1982,12/18/1993,1982,1993,ImageCollection,ndvi
LANDSAT/LT4_L1T_8DAY_NDWI,Google,Landsat 4 TM 8-Day NDWI Composite,8/20/1982,12/18/1993,1982,1993,ImageCollection,ndwi
LANDSAT/LT4_L1T_8DAY_RAW,Google,Landsat 4 TM 8-Day Raw Composite,8/20/1982,12/18/1993,1982,1993,ImageCollection,raw
LANDSAT/LT4_L1T_8DAY_TOA,Google,Landsat 4 TM 8-Day TOA Reflectance Composite,8/20/1982,12/18/1993,1982,1993,ImageCollection,toa
LANDSAT/LT04/C01/T1,USGS,USGS Landsat 4 TM Collection 1 Tier 1 Raw Scenes,8/21/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, tm, l4, lt4, c1, tier1, t1, radiance"
LANDSAT/LT04/C01/T1_SR,USGS,USGS Landsat 4 Surface Reflectance Tier 1,8/21/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, sr, reflectance, ledaps, cloud, fmask, cfmask, lt04"
LANDSAT/LT04/C01/T1_TOA,USGS/Google,USGS Landsat 4 TM Collection 1 Tier 1 TOA Reflectance,8/21/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, toa"
LANDSAT/LT04/C01/T2,USGS,USGS Landsat 4 TM Collection 1 Tier 2 Raw Scenes,8/21/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, tm, l4, lt4, c1, tier2, t2, radiance"
LANDSAT/LT04/C01/T2_SR,USGS,USGS Landsat 4 Surface Reflectance Tier 2,8/21/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, sr, reflectance, ledaps, cloud, fmask, cfmask, lt04"
LANDSAT/LT04/C01/T2_TOA,USGS/Google,USGS Landsat 4 TM Collection 1 Tier 2 TOA Reflectance,8/21/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, toa"
LANDSAT/LT4,USGS,USGS Landsat 4 TM Raw Scenes,8/21/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, tm, l4, lt4, radiance"
LANDSAT/LT4_L1T,USGS,USGS Landsat 4 TM Raw Scenes (Orthorectified),8/21/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, tm, l4, lt4, radiance"
LANDSAT/LT4_L1T_TOA,USGS/Google,USGS Landsat 4 TM TOA Reflectance (Orthorectified),8/21/1982,12/13/1993,1982,1993,ImageCollection,"landsat, usgs, global, toa"
NOAA/PERSIANN-CDR,NOAA NCDC,PERSIANN-CDR: Precipitation Estimation from Remotely Sensed Information Using Artificial Neural Networks-Climate Data Record,12/31/1982,6/29/2019,1982,2019,ImageCollection,"noaa, cdr, ncdc, precipitation, persiann, geophysical, weather, climate"
LANDSAT/LT05/C01/T1,USGS,USGS Landsat 5 TM Collection 1 Tier 1 Raw Scenes,12/31/1983,5/4/2012,1983,2012,ImageCollection,"landsat, usgs, global, tm, l5, lt5, c1, tier1, t1, radiance"
LANDSAT/LT05/C01/T1_SR,USGS,USGS Landsat 5 Surface Reflectance Tier 1,12/31/1983,5/4/2012,1983,2012,ImageCollection,"landsat, usgs, global, sr, reflectance, ledaps, cloud, fmask, cfmask, lt05"
LANDSAT/LT05/C01/T1_TOA,USGS/Google,USGS Landsat 5 TM Collection 1 Tier 1 TOA Reflectance,12/31/1983,5/4/2012,1983,2012,ImageCollection,"landsat, usgs, global, toa"
LANDSAT/LT05/C01/T2,USGS,USGS Landsat 5 TM Collection 1 Tier 2 Raw Scenes,12/31/1983,5/4/2012,1983,2012,ImageCollection,"landsat, usgs, global, tm, l5, lt5, c1, tier2, t2, radiance"
LANDSAT/LT05/C01/T2_SR,USGS,USGS Landsat 5 Surface Reflectance Tier 2,12/31/1983,5/4/2012,1983,2012,ImageCollection,"landsat, usgs, global, sr, reflectance, ledaps, cloud, fmask, cfmask, lt05"
LANDSAT/LT05/C01/T2_TOA,USGS/Google,USGS Landsat 5 TM Collection 1 Tier 2 TOA Reflectance,12/31/1983,5/4/2012,1983,2012,ImageCollection,"landsat, usgs, global, toa"
LANDSAT/LT5,USGS,USGS Landsat 5 TM Raw Scenes,12/31/1983,5/4/2012,1983,2012,ImageCollection,"landsat, usgs, global, tm, l5, lt5, radiance"
LANDSAT/LT5_L1T,USGS,USGS Landsat 5 TM Raw Scenes (Orthorectified),12/31/1983,5/4/2012,1983,2012,ImageCollection,"landsat, usgs, global, tm, l5, lt5, radiance"
LANDSAT/LT5_L1T_32DAY_BAI,Google,Landsat 5 TM 32-Day BAI Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,bai
LANDSAT/LT5_L1T_32DAY_EVI,Google,Landsat 5 TM 32-Day EVI Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,evi
LANDSAT/LT5_L1T_32DAY_NBRT,Google,Landsat 5 TM 32-Day NBRT Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,nbrt
LANDSAT/LT5_L1T_32DAY_NDSI,Google,Landsat 5 TM 32-Day NDSI Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,ndsi
LANDSAT/LT5_L1T_32DAY_NDVI,Google,Landsat 5 TM 32-Day NDVI Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,ndvi
LANDSAT/LT5_L1T_32DAY_NDWI,Google,Landsat 5 TM 32-Day NDWI Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,ndwi
LANDSAT/LT5_L1T_32DAY_RAW,Google,Landsat 5 TM 32-Day Raw Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,raw
LANDSAT/LT5_L1T_32DAY_TOA,Google,Landsat 5 TM 32-Day TOA Reflectance Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,toa
LANDSAT/LT5_L1T_8DAY_BAI,Google,Landsat 5 TM 8-Day BAI Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,bai
LANDSAT/LT5_L1T_8DAY_EVI,Google,Landsat 5 TM 8-Day EVI Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,evi
LANDSAT/LT5_L1T_8DAY_NBRT,Google,Landsat 5 TM 8-Day NBRT Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,nbrt
LANDSAT/LT5_L1T_8DAY_NDSI,Google,Landsat 5 TM 8-Day NDSI Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,ndsi
LANDSAT/LT5_L1T_8DAY_NDVI,Google,Landsat 5 TM 8-Day NDVI Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,ndvi
LANDSAT/LT5_L1T_8DAY_NDWI,Google,Landsat 5 TM 8-Day NDWI Composite,12/31/1983,5/7/2012,1983,2012,ImageCollection,ndwi
